id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
42801,,25.644015,-100.363054,Club Sierra Madre,outside,1.83,77.0,25.0,24.0,948.47,,,,,,,,,,,,,2020-10-30 00:02:22,PMS5003+PMS5003+BME280,,,False,False,False,24152,,,,,,,False,17.37,10.7,8.57,11.91,17.4,17.15
5484,,33.293854,-112.097197,Club West Discovery,outside,2.15,79.0,26.11111111111111,15.0,971.98,,,,,,,,,,,,,2020-11-15 18:32:47,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.78,2.32,4.74,10.05,8.62,4.94
37677,,34.038293,-118.401932,Club_Danalda,outside,3.67,98.0,36.66666666666667,10.0,1012.56,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.87,7.85,10.1,22.76,23.73,23.64
1326,,35.527256,-82.895241,Clyde,outside,4.02,73.0,22.77777777777778,49.0,919.28,,,,,,,,,,,,,2020-11-15 18:33:57,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.14,4.51,5.56,8.51,5.7,5.03
45421,,32.51402,-117.114498,CMK3 Escuela 146 Dirrecion,outside,10.8,77.0,25.0,33.0,1014.87,,,,,,,,,,,,,2020-11-15 18:33:16,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,15.84,21.55,21.93,22.83,23.7,25.0
7604,,40.478429,-79.957044,CMU CAPS PPA 015,outside,6.96,64.0,17.77777777777778,82.0,973.55,,,,,,,,,,,,,2020-11-15 18:33:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,9.37,10.45,11.17,19.12,20.0,22.51
2189,,40.484821,-80.04765,CMU CAPS PPA 021,outside,3336.45,66.0,18.88888888888889,57.0,969.24,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,True,False,1,,,,,,,False,40.8,25.38,21.05,14.15,12.12,11.2
15625,,40.44334,-79.886102,CMU CAPS PPA 025,outside,9.62,65.0,18.333333333333336,59.0,969.16,,,,,,,,,,,,,2020-11-15 18:33:44,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,9.44,10.11,10.58,16.26,20.0,18.21
69867,,46.617109,-120.424052,CNP,outside,0.0,65.0,18.333333333333336,28.0,960.81,,,,,,,,,,,,,2020-11-15 18:32:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.01,0.01,0.01,0.09,1.01,2.33
4974,,33.601303,-117.808196,Coastal Peak,outside,2.71,98.0,36.66666666666667,11.0,985.24,,,,,,,,,,,,,2020-11-15 18:32:42,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.0,3.02,3.37,8.2,8.65,14.3
