id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
64473,,37.709096,-121.798765,Selby Ln,outside,21.41,63.0,17.22222222222222,44.0,1011.04,,,,,,,,,,,,,2020-11-15 18:33:03,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,22.03,22.86,22.76,21.86,15.64,14.33
62427,,37.643537,-122.449679,Sellick Park,outside,40.35,61.0,16.11111111111111,56.0,1015.85,,,,,,,,,,,,,2020-11-15 18:32:37,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,38.62,32.14,26.42,12.24,8.93,11.32
19211,,36.967334,-121.885143,SempleAve ,outside,12.8,67.0,19.444444444444446,50.0,1018.79,,,,,,,,,,,,,2020-11-15 18:32:59,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,11.71,14.94,19.92,19.78,15.0,15.33
54403,,37.946475,-122.34806,Sensor,outside,21.37,69.0,20.555555555555557,43.0,1026.14,,,,,,,,,,,,,2020-11-15 18:33:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,22.31,19.76,16.26,11.68,10.73,13.03
65477,,37.31439,-121.766106,Sensor McSensorface,outside,28.33,60.0,15.555555555555557,53.0,1012.44,,,,,,,,,,,,,2020-11-15 18:33:29,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,29.14,26.8,23.86,19.91,15.11,14.83
72573,,36.829739,-121.645955,Sensor3,outside,10.11,62.0,16.666666666666668,46.0,1005.24,,,,,,,,,,,,,2020-11-15 18:33:29,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.02,12.85,14.09,14.87,11.78,10.58
63905,,37.8982,-122.5591,Sequoia Valley Road,outside,6.02,64.0,17.77777777777778,43.0,1004.96,,,,,,,,,,,,,2020-11-15 18:33:50,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,7.56,8.47,7.99,5.34,5.07,10.08
70645,,37.44931,-122.220693,Sequoia/Stockbridge,outside,21.55,64.0,17.77777777777778,46.0,1026.36,,,,,,,,,,,,,2020-11-15 18:32:39,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,21.19,14.49,10.02,9.27,9.92,11.88
59465,,37.759697,-122.132143,Sequoyah,outside,17.46,71.0,21.666666666666668,37.0,1008.99,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,18.22,18.82,16.16,12.5,11.97,13.9
64429,,37.759935,-122.13759,Sequoyah,outside,23.52,66.0,18.88888888888889,44.0,1013.36,,,,,,,,,,,,,2020-11-15 18:32:49,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,23.77,22.53,18.59,13.21,12.78,15.3
80399,,37.760345,-122.133392,Sequoyah Highlands,outside,20.34,66.0,18.88888888888889,45.0,1008.78,,,,,,,,,,,,,2020-11-15 18:32:52,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,20.61,21.11,18.5,13.3,12.7,11.35
55915,,37.764128,-122.139084,Sequoyah Road,outside,21.74,64.0,17.77777777777778,47.0,1010.04,,,,,,,,,,,,,2020-11-15 18:33:40,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,22.64,21.72,19.03,13.59,12.74,14.53
85561,,37.894757,-122.046421,Serena Gardens WC,outside,3.95,63.0,17.22222222222222,44.0,1018.57,,,,,,,,,,,,,2020-11-15 18:33:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,8.22,14.4,17.43,17.91,13.51,5.75
37003,,37.380979,-122.059465,SevelyDriveOutside,outside,14.7,75.0,23.88888888888889,29.0,1023.43,,,,,,,,,,,,,2020-11-15 18:33:54,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,14.14,13.19,12.28,16.64,14.09,13.85
76451,,37.593441,-122.001184,Seven Hills Riviera,outside,19.59,70.0,21.11111111111111,41.0,1024.14,,,,,,,,,,,,,2020-11-15 18:33:22,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,20.7,20.69,20.97,21.26,15.42,12.68
16943,,37.723212,-122.399237,SFAQ_Bayview_Wedge,outside,36.07,62.0,16.666666666666668,61.0,1025.31,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,37.08,35.61,33.03,19.62,12.51,13.23
